Event	Date/Time	Latitude	Longitude	Elevation [m]	Diff
PG07	2014-12-12	-62.235228	-58.616384	188.6	0.02
PG07	2014-12-30	-62.235228	-58.616384	188.6	-0.04
PG07	2015-01-14	-62.235228	-58.616384	188.6	-0.09
PG07	2015-01-26	-62.235228	-58.616384	188.6	-0.19
PG07	2015-02-06	-62.235228	-58.616384	188.6	-0.72
PG07	2015-02-24	-62.235228	-58.616384	188.6	-0.15
PG07	2015-03-14	-62.235228	-58.616384	188.6	-0.05
PG07	2015-03-29	-62.235228	-58.616384	188.6	-0.07
PG07	2015-04-13	-62.235228	-58.616384	188.6	-0.05
PG07	2015-05-02	-62.235228	-58.616384	188.6	0.03
PG07	2015-05-19	-62.235228	-58.616384	188.6	-0.11
PG07	2015-06-17	-62.235228	-58.616384	188.6	0.30
PG07	2015-07-13	-62.235228	-58.616384	188.6	0.10
PG07	2015-07-29	-62.235228	-58.616384	188.6	0.08
PG07	2015-08-21	-62.235228	-58.616384	188.6	0.07
PG07	2015-09-14	-62.235228	-58.616384	188.6	0.06
PG07	2015-10-08	-62.235228	-58.616384	188.6	-0.07
PG07	2015-10-27	-62.235228	-58.616384	188.6	0.07
PG07	2015-11-19	-62.235228	-58.616384	188.6	0.46
PG07	2015-12-01	-62.235228	-58.616384	188.6	-0.11
PG07	2015-12-26	-62.235228	-58.616384	188.6	-0.22
PG07	2016-01-04	-62.235228	-58.616384	188.6	-0.38
PG07	2016-02-17	-62.235228	-58.616384	188.6	-0.13
PG07	2016-02-25	-62.235228	-58.616384	188.6	-0.10
PG07	2016-03-10	-62.235228	-58.616384	188.6	-0.26
PG07	2016-04-08	-62.235228	-58.616384	188.6	-0.37
PG07	2016-04-23	-62.235228	-58.616384	188.6	0.19
PG08	2010-11-22	-62.235664	-58.623240	159.1	1.49
PG08	2010-12-05	-62.235664	-58.623240	159.1	0.32
PG08	2010-12-11	-62.235664	-58.623240	159.1	-0.01
PG08	2010-12-23	-62.235664	-58.623240	159.1	-0.09
PG08	2011-01-09	-62.235664	-58.623240	159.1	-0.54
PG08	2011-01-25	-62.235664	-58.623240	159.1	0.09
PG08	2011-03-11	-62.235664	-58.623240	159.1	-1.66
PG08	2011-04-06	-62.235664	-58.623240	159.1	0.43
PG08	2011-10-15	-62.235664	-58.623240	159.1	1.06
PG08	2012-01-16	-62.235664	-58.623240	159.1	-1.99
PG08	2012-01-23	-62.235664	-58.623240	159.1	-0.20
PG08	2012-01-27	-62.235664	-58.623240	159.1	-0.64
PG08	2012-02-08	-62.235664	-58.623240	159.1	-0.40
PG08	2012-02-20	-62.235664	-58.623240	159.1	-0.01
PG08	2012-03-04	-62.235664	-58.623240	159.1	-0.46
PG08	2012-03-13	-62.235664	-58.623240	159.1	-0.22
PG08	2012-03-23	-62.235664	-58.623240	159.1	-0.11
PG08	2012-04-13	-62.235664	-58.623240	159.1	0.09
PG08	2012-04-21	-62.235664	-58.623240	159.1	0.46
PG08	2012-05-03	-62.235664	-58.623240	159.1	0.06
PG08	2012-05-11	-62.235664	-58.623240	159.1	0.02
PG08	2012-05-21	-62.235664	-58.623240	159.1	0.05
PG08	2012-05-30	-62.235664	-58.623240	159.1	-0.12
PG08	2012-06-12	-62.235664	-58.623240	159.1	0.13
PG08	2012-07-01	-62.235664	-58.623240	159.1	0.40
PG08	2012-07-12	-62.235664	-58.623240	159.1	0.11
PG08	2012-07-23	-62.235664	-58.623240	159.1	-0.05
PG08	2012-07-27	-62.235664	-58.623240	159.1	0.30
PG08	2012-08-05	-62.235664	-58.623240	159.1	-0.12
PG08	2012-08-15	-62.235664	-58.623240	159.1	0.04
PG08	2012-08-28	-62.235664	-58.623240	159.1	-0.14
PG08	2012-09-04	-62.235664	-58.623240	159.1	-0.01
PG08	2012-09-12	-62.235664	-58.623240	159.1	0.28
PG08	2012-09-27	-62.235664	-58.623240	159.1	0.14
PG08	2012-10-09	-62.235664	-58.623240	159.1	0.20
PG08	2012-10-18	-62.235664	-58.623240	159.1	-0.07
PG08	2012-10-27	-62.235664	-58.623240	159.1	0.15
PG08	2012-11-03	-62.235664	-58.623240	159.1	-0.03
PG08	2012-11-10	-62.235664	-58.623240	159.1	0.02
PG08	2012-11-24	-62.235664	-58.623240	159.1	-0.08
PG08	2012-12-05	-62.235664	-58.623240	159.1	-0.01
PG08	2012-12-14	-62.235664	-58.623240	159.1	-0.02
PG08	2012-12-22	-62.235664	-58.623240	159.1	-0.04
PG08	2013-01-05	-62.235664	-58.623240	159.1	0.03
PG08	2013-01-15	-62.235664	-58.623240	159.1	-0.07
PG08	2013-01-23	-62.235664	-58.623240	159.1	-0.29
PG08	2013-02-01	-62.235664	-58.623240	159.1	0.03
PG08	2013-02-11	-62.235664	-58.623240	159.1	0.23
PG08	2013-02-19	-62.235664	-58.623240	159.1	-0.17
PG08	2013-02-27	-62.235664	-58.623240	159.1	-0.15
PG08	2013-03-06	-62.235664	-58.623240	159.1	-0.26
PG08	2013-04-11	-62.235664	-58.623240	159.1	-0.68
PG08	2013-05-04	-62.235664	-58.623240	159.1	-0.04
PG08	2013-05-24	-62.235664	-58.623240	159.1	0.17
PG08	2013-06-25	-62.235664	-58.623240	159.1	0.48
PG08	2013-07-24	-62.235664	-58.623240	159.1	0.37
PG08	2013-08-01	-62.235664	-58.623240	159.1	0.04
PG08	2013-08-24	-62.235664	-58.623240	159.1	0.60
PG08	2013-09-12	-62.235664	-58.623240	159.1	-0.10
PG08	2013-09-27	-62.235664	-58.623240	159.1	0.00
PG08	2013-10-10	-62.235664	-58.623240	159.1	-0.15
PG08	2013-10-20	-62.235664	-58.623240	159.1	-0.16
PG08	2013-11-06	-62.235664	-58.623240	159.1	-0.25
PG08	2013-11-26	-62.235664	-58.623240	159.1	-0.10
PG08	2013-12-16	-62.235664	-58.623240	159.1	0.11
PG08	2014-01-03	-62.235664	-58.623240	159.1	0.00
PG08	2014-01-21	-62.235664	-58.623240	159.1	-0.36
PG08	2014-01-31	-62.235664	-58.623240	159.1	0.09
PG08	2014-02-10	-62.235664	-58.623240	159.1	0.28
PG08	2014-02-18	-62.235664	-58.623240	159.1	-0.29
PG08	2014-02-28	-62.235664	-58.623240	159.1	-0.15
PG08	2014-03-10	-62.235664	-58.623240	159.1	-0.22
PG08	2014-03-23	-62.235664	-58.623240	159.1	0.36
PG08	2014-04-09	-62.235664	-58.623240	159.1	-0.09
PG08	2014-04-30	-62.235664	-58.623240	159.1	-0.07
PG08	2014-05-09	-62.235664	-58.623240	159.1	0.05
PG08	2014-05-22	-62.235664	-58.623240	159.1	0.22
PG08	2014-06-05	-62.235664	-58.623240	159.1	0.24
PG08	2014-06-19	-62.235664	-58.623240	159.1	0.15
PG08	2014-07-11	-62.235664	-58.623240	159.1	0.13
