Stake	Date	Date1	Latitude	Longitude	Elevation	Days	SMB	SMB1	SMB_diff
R1А	2010-04-05	2010-03-29	-62.1769641417	-58.900501078699996	96.0	7	0.3705	42.18	-0.051300000000000026
R1А	2010-04-12	2010-04-05	-62.1769641417	-58.900501078699996	96.0	7	0.285	37.05	-0.08549999999999996
R1А	2010-04-14	2010-04-12	-62.1769641417	-58.900501078699996	96.0	2	0.2622	28.5	-0.02280000000000001
R1А	2010-04-20	2010-04-14	-62.1769641417	-58.900501078699996	96.0	6	0.2943	26.22	0.03210000000000001
R1А	2010-04-27	2010-04-20	-62.1769641417	-58.900501078699996	96.0	7	0.32	29.43	0.025700000000000004
R1А	2010-05-13	2010-04-27	-62.1769641417	-58.900501078699996	96.0	16	0.325	32.0	0.005
R1А	2010-05-20	2010-05-13	-62.1769641417	-58.900501078699996	96.0	7	0.38	32.5	0.055
R1А	2010-11-09	2010-05-20	-62.1769641417	-58.900501078699996	96.0	173	0.88924	38.0	0.50924
R1А	2010-11-29	2010-11-09	-62.1769641417	-58.900501078699996	96.0	20	0.8085	88.924	-0.08074000000000012
R1А	2010-12-11	2010-11-29	-62.1769641417	-58.900501078699996	96.0	12	0.85008	80.85	0.04158000000000001
R1А	2010-12-21	2010-12-11	-62.1769641417	-58.900501078699996	96.0	10	0.8789	85.008	0.02882000000000005
R1А	2010-12-30	2010-12-21	-62.1769641417	-58.900501078699996	96.0	9	0.8944	87.89	0.015499999999999972
R1А	2011-01-07	2010-12-30	-62.1769641417	-58.900501078699996	96.0	8	0.63568	89.44	-0.25872
R1А	2011-01-15	2011-01-07	-62.1769641417	-58.900501078699996	96.0	8	0.54672	63.568	-0.08896000000000001
R1А	2011-01-23	2011-01-15	-62.1769641417	-58.900501078699996	96.0	8	0.5196500000000001	54.672	-0.027069999999999938
R1А	2011-01-31	2011-01-23	-62.1769641417	-58.900501078699996	96.0	8	0.48503999999999997	51.965	-0.03461000000000006
R1А	2011-02-07	2011-01-31	-62.1769641417	-58.900501078699996	96.0	7	0.4047	48.504	-0.08034
R1А	2011-02-15	2011-02-07	-62.1769641417	-58.900501078699996	96.0	8	0.29	40.47	-0.11469999999999998
R1А	2011-02-25	2011-02-15	-62.1769641417	-58.900501078699996	96.0	10	0.0	29.0	-0.29
R1А	2011-03-14	2011-02-25	-62.1769641417	-58.900501078699996	96.0	17	-0.25420000000000004	0.0	-0.25420000000000004
R1А	2011-03-22	2011-03-14	-62.1769641417	-58.900501078699996	96.0	8	-0.3116	-25.42	-0.057399999999999986
R1А	2011-04-06	2011-03-22	-62.1769641417	-58.900501078699996	96.0	15	0.02	-31.16	0.33159999999999995
R1А	2011-04-24	2011-04-06	-62.1769641417	-58.900501078699996	96.0	18	0.0925	2.0	0.0725
R1А	2011-05-10	2011-04-24	-62.1769641417	-58.900501078699996	96.0	16	0.21359999999999998	9.25	0.1211
R1А	2011-05-24	2011-05-10	-62.1769641417	-58.900501078699996	96.0	14	0.1841	21.36	-0.02949999999999999
R1А	2011-06-07	2011-05-24	-62.1769641417	-58.900501078699996	96.0	14	0.1757	18.41	-0.008399999999999998
R1А	2011-06-20	2011-06-07	-62.1769641417	-58.900501078699996	96.0	13	0.1281	17.57	-0.047599999999999996
R1А	2011-07-05	2011-06-20	-62.1769641417	-58.900501078699996	96.0	15	0.2785	12.81	0.1504
R1А	2011-07-19	2011-07-05	-62.1769641417	-58.900501078699996	96.0	14	0.2377	27.85	-0.04080000000000002
R1А	2011-08-07	2011-07-19	-62.1769641417	-58.900501078699996	96.0	19	0.318	23.77	0.08030000000000001
R1А	2011-08-22	2011-08-07	-62.1769641417	-58.900501078699996	96.0	15	0.3452	31.8	0.027200000000000023
R1А	2011-09-06	2011-08-22	-62.1769641417	-58.900501078699996	96.0	15	0.3846	34.52	0.03939999999999998
R1А	2011-09-22	2011-09-06	-62.1769641417	-58.900501078699996	96.0	16	0.40850000000000003	38.46	0.023900000000000005
R1А	2011-10-06	2011-09-22	-62.1769641417	-58.900501078699996	96.0	14	0.47850000000000004	40.85	0.07
R1А	2011-10-20	2011-10-06	-62.1769641417	-58.900501078699996	96.0	14	0.5436	47.85	0.06509999999999998
R1А	2011-11-17	2011-10-20	-62.1769641417	-58.900501078699996	96.0	28	0.5468999999999999	54.36	0.003299999999999983
R1А	2011-12-04	2011-11-17	-62.1769641417	-58.900501078699996	96.0	17	0.526	54.69	-0.020899999999999964
R1А	2011-12-19	2011-12-04	-62.1769641417	-58.900501078699996	96.0	15	0.2818	52.6	-0.24420000000000003
R1А	2012-01-07	2011-12-19	-62.1769641417	-58.900501078699996	96.0	19	0.08929999999999999	28.18	-0.1925
R1А	2012-01-20	2012-01-07	-62.1769641417	-58.900501078699996	96.0	13	-0.0902	8.93	-0.1795
R1А	2012-02-04	2012-01-20	-62.1769641417	-58.900501078699996	96.0	15	-0.4412	-9.02	-0.3509999999999999
R1А	2012-02-19	2012-02-04	-62.1769641417	-58.900501078699996	96.0	15	-0.6572	-44.12	-0.21600000000000003
R1А	2012-03-04	2012-02-19	-62.1769641417	-58.900501078699996	96.0	14	-0.8912	-65.72	-0.23400000000000007
R1А	2012-03-17	2012-03-04	-62.1769641417	-58.900501078699996	96.0	13	-1.1522	-89.12	-0.26099999999999995
R1А	2012-03-30	2012-03-17	-62.1769641417	-58.900501078699996	96.0	13	-1.2152	-115.22	-0.06299999999999997
R2	2007-11-08	2007-11-08	-62.176362982600004	-58.8985039891	116.0	0	0.8959999999999999	0.0	0.8959999999999999
R2	2007-12-09	2007-11-08	-62.176362982600004	-58.8985039891	116.0	31	1.02858	89.6	0.1325800000000001
R2	2007-12-18	2007-12-09	-62.176362982600004	-58.8985039891	116.0	9	1.02515	102.858	-0.0034300000000000355
R2	2007-12-26	2007-12-18	-62.176362982600004	-58.8985039891	116.0	8	0.96624	102.515	-0.05891000000000005
R2	2008-01-05	2007-12-26	-62.176362982600004	-58.8985039891	116.0	10	0.815	96.624	-0.15123999999999996
R2	2008-01-12	2008-01-05	-62.176362982600004	-58.8985039891	116.0	7	0.7951999999999999	81.5	-0.01980000000000004
R2	2008-01-19	2008-01-12	-62.176362982600004	-58.8985039891	116.0	7	0.7440000000000001	79.52	-0.051199999999999905
R2	2008-01-26	2008-01-19	-62.176362982600004	-58.8985039891	116.0	7	0.54496	74.4	-0.19904000000000002
R2	2008-02-02	2008-01-26	-62.176362982600004	-58.8985039891	116.0	7	0.43512	54.496	-0.10984000000000002
R2	2008-02-09	2008-02-02	-62.176362982600004	-58.8985039891	116.0	7	0.44712	43.512	0.012000000000000028
R2	2008-02-16	2008-02-09	-62.176362982600004	-58.8985039891	116.0	7	0.30555	44.712	-0.14157000000000003
R2	2008-02-24	2008-02-16	-62.176362982600004	-58.8985039891	116.0	8	0.17622	30.555	-0.12933
R2	2008-03-02	2008-02-24	-62.176362982600004	-58.8985039891	116.0	7	0.0	17.622	-0.17622
R2	2008-03-07	2008-03-02	-62.176362982600004	-58.8985039891	116.0	5	-0.16	0.0	-0.16
R2	2008-03-09	2008-03-07	-62.176362982600004	-58.8985039891	116.0	2	-0.22	-16.0	-0.06
R2	2008-11-03	2008-03-09	-62.176362982600004	-58.8985039891	116.0	239	0.5658	-22.0	0.7857999999999999
R2	2008-11-13	2008-11-03	-62.176362982600004	-58.8985039891	116.0	10	0.4263	56.58	-0.13949999999999996
R2	2008-11-21	2008-11-13	-62.176362982600004	-58.8985039891	116.0	8	0.5735199999999999	42.63	0.14721999999999993
R2	2008-11-28	2008-11-21	-62.176362982600004	-58.8985039891	116.0	7	0.41656	57.352	-0.15696
R2	2008-12-05	2008-11-28	-62.176362982600004	-58.8985039891	116.0	7	0.3311	41.656	-0.08546
R2	2008-12-09	2008-12-05	-62.176362982600004	-58.8985039891	116.0	4	0.35673	33.11	0.025630000000000024
R2	2008-12-13	2008-12-09	-62.176362982600004	-58.8985039891	116.0	4	0.32899999999999996	35.673	-0.027730000000000032
R2	2008-12-19	2008-12-13	-62.176362982600004	-58.8985039891	116.0	6	0.257	32.9	-0.072
R2	2008-12-26	2008-12-19	-62.176362982600004	-58.8985039891	116.0	7	0.19572	25.7	-0.06128
R2	2009-01-02	2008-12-26	-62.176362982600004	-58.8985039891	116.0	7	0.16632000000000002	19.572	-0.029399999999999978
R2	2009-01-09	2009-01-02	-62.176362982600004	-58.8985039891	116.0	7	0.0351	16.632	-0.13122
