Date/Time	Event	Latitude	Longitude	Elevation [m]	Diff
2016-04-08	PG08	-62.235664	-58.62324	159.1	-0.31
2016-04-23	PG08	-62.235664	-58.62324	159.1	0.26
2011-10-15	PG09	-62.235806000000004	-58.629598	121.0	1.11
2012-01-16	PG09	-62.235806000000004	-58.629598	121.0	-2.1
2012-01-23	PG09	-62.235806000000004	-58.629598	121.0	-0.2
2012-01-27	PG09	-62.235806000000004	-58.629598	121.0	-0.11
2012-02-08	PG09	-62.235806000000004	-58.629598	121.0	-0.41
2012-02-20	PG09	-62.235806000000004	-58.629598	121.0	-0.22
2012-03-04	PG09	-62.235806000000004	-58.629598	121.0	-0.32
2012-03-13	PG09	-62.235806000000004	-58.629598	121.0	-0.26
2012-03-23	PG09	-62.235806000000004	-58.629598	121.0	-0.07
2012-04-21	PG09	-62.235806000000004	-58.629598	121.0	0.64
2012-05-03	PG09	-62.235806000000004	-58.629598	121.0	0.05
2012-05-11	PG09	-62.235806000000004	-58.629598	121.0	0.03
2012-05-21	PG09	-62.235806000000004	-58.629598	121.0	-0.07
2012-05-30	PG09	-62.235806000000004	-58.629598	121.0	0.01
2012-06-12	PG09	-62.235806000000004	-58.629598	121.0	0.17
2012-07-01	PG09	-62.235806000000004	-58.629598	121.0	0.74
2012-07-12	PG09	-62.235806000000004	-58.629598	121.0	0.1
